Person,Total Gross,# Movies,Average,#1 Picture,Gross
Chris Gorak,$21.50 ,2,$10.80 ,The Darkest Hour,$21.40 
Josh Gordon,$201.10 ,3,$67.00 ,Blades of Glory,$118.60 
Keith Gordon,$2.80 ,5,$568k,A Midnight Clear,$1.50 
Seth Gordon,$430.90 ,5,$86.20 ,Identity Thief,$134.50 
Joseph Gordon-Levitt,$24.50 ,1,$24.50 ,Don Jon,$24.50 
Tom Gormican,$26.10 ,1,$26.10 ,That Awkward Moment,$26.10 
Ryan Gosling,$45.4k,1,$45.4k,Lost River,$45.4k
Raja Gosnell,$803.00 ,9,$89.20 ,Scooby-Doo,$153.30 
David S. Goyer,$115.70 ,3,$38.60 ,Blade: Trinity,$52.40 
Todd Graff,$37.80 ,3,$12.60 ,Joyful Noise,$30.90 
Debra Granik,$6.60 ,2,$3.30 ,Winter's Bone,$6.50 
Susannah Grant,$15.50 ,1,$15.50 ,Catch and Release,$15.50 
F. Gary Gray,$758.00 ,9,$84.20 ,Fate of the Furious,$226.00 
James Gray,$44.30 ,6,$7.40 ,We Own the Night,$28.60 
John Gray,$24.10 ,3,$8.00 ,Glimmer Man,$20.40 
Dave Green,$121.00 ,2,$60.50 ,Teenage Mutant Ninja Turtles 2,$82.10 
David Gordon Green,$152.70 ,12,$12.70 ,Pineapple Express,$87.30 
Luke Greenfield,$193.80 ,4,$48.40 ,Let's Be Cops,$82.40 
Paul Greengrass,$740.60 ,8,$92.60 ,The Bourne Ultimatum,$227.50 
Clark Gregg,$2.90 ,1,$2.90 ,Choke,$2.90 
Alister Grierson,$23.20 ,1,$23.20 ,Sanctum,$23.20 
Christopher Guest,$45.70 ,5,$9.10 ,Best in Show,$18.70 
Davis Guggenheim,$42.90 ,6,$7.20 ,An Inconvenient Truth,$24.10 
James Gunn,$731.10 ,4,$182.80 ,Guardians of the Galaxy 2,$389.80 
Jorge R. Gutierrez,$50.20 ,1,$50.20 ,The Book of Life,$50.20 
Taylor Hackford,$426.80 ,14,$30.50 ,An Officer and a Gentleman,$129.80 
Mikael Hafstrom,$166.30 ,6,$27.70 ,1408,$72.00 
Paul Haggis,$83.50 ,4,$20.90 ,Crash,$54.60 
Don Hahn,$80.7k,1,$80.7k,Waking Sleeping Beauty,$80.7k
Don Hall,$249.20 ,2,$124.60 ,Big Hero 6,$222.50 
Jason Dean Hall,$9.50 ,1,$9.50 ,Thank You for Your Service (2017),$9.50 
Klay Hall,$90.30 ,1,$90.30 ,Planes,$90.30 
Lasse Hallstrom,$530.80 ,15,$35.40 ,Dear John,$80.00 
Christopher Hampton,$3.40 ,3,$1.10 ,Carrington,$3.20 
John Lee Hancock,$450.10 ,5,$90.00 ,The Blind Side,$256.00 
Michael Haneke,$15.40 ,8,$1.90 ,Amour,$6.70 
Tom Hanks,$61.50 ,2,$30.70 ,Larry Crowne,$35.60 
Curtis Hanson,$406.80 ,11,$37.00 ,8 Mile,$116.80 
Catherine Hardwicke,$285.10 ,7,$40.70 ,Twilight,$192.80 
Rob Hardy,$17.80 ,3,$5.90 ,The Gospel,$15.80 
David Hare,$2.30 ,3,$760k,Wetherby,$1.30 
Renny Harlin,$526.70 ,16,$32.90 ,Die Hard 2,$117.50 
Dan Harris,$229k,1,$229k,Imaginary Heroes,$229k
Ed Harris,$28.80 ,2,$14.40 ,Appaloosa,$20.20 
Ethan Hawke,$775k,2,$387k,Seymour: An Introduction,$744k
Jimmy Hayward,$220.80 ,3,$73.60 ,Horton Hears a Who!,$154.50 
Michel Hazanavicius,$45.10 ,3,$15.00 ,The Artist,$44.70 
Leslye Headland,$1.30 ,2,$634k,Sleeping with Other People,$819k
Amy Heckerling,$384.00 ,9,$42.70 ,Look Who's Talking,$140.10 
Peter Hedges,$102.00 ,3,$34.00 ,The Odd Life of Timothy Green,$51.90 
Brian Helgeland,$242.60 ,5,$48.50 ,42,$95.00 
John Herzfeld,$59.20 ,3,$19.70 ,15 Minutes,$24.40 
Werner Herzog,$17.90 ,10,$1.80 ,Rescue Dawn,$5.50 
Peter Hewitt,$171.90 ,6,$28.70 ,Garfield,$75.40 
George Hickenlooper,$5.70 ,5,$1.10 ,Factory Girl,$1.70 
Scott Hicks,$178.90 ,7,$25.60 ,The Lucky One,$60.50 
Tim Hill,$387.80 ,5,$77.60 ,Alvin and the Chipmunks,$217.30 
Walter Hill,$395.00 ,17,$23.20 ,Another 48 HRS.,$80.80 
John Hillcoat,$60.10 ,4,$15.00 ,Lawless,$37.40 
Gregory Hoblit,$213.10 ,6,$35.50 ,Primal Fear,$56.10 
Dustin Hoffman,$18.40 ,1,$18.40 ,Quartet,$18.40 
Michael Hoffman,$151.10 ,10,$15.10 ,One Fine Day,$46.20 
Philip Seymour Hoffman,$542k,1,$542k,Jack Goes Boating,$542k
P.J. Hogan,$235.00 ,4,$58.70 ,My Best Friend's Wedding,$127.10 
Nicole Holofcener,$40.50 ,5,$8.10 ,Enough Said,$17.60 
Tom Hooper,$299.20 ,4,$74.80 ,Les Miserables,$148.80 
Anthony Hopkins,$78.0k,2,$39.0k,August (1996),$69.1k
Stephen Hopkins,$247.90 ,9,$27.50 ,Lost in Space,$69.10 
Ron Howard,"$1,896.00 ",24,$79.00 ,The Grinch,$260.00 
Albert Hughes,$178.80 ,5,$35.80 ,The Book of Eli,$94.80 
Allen Hughes,$198.50 ,6,$33.10 ,The Book of Eli,$94.80 
John Hughes,$329.50 ,8,$41.20 ,Ferris Bueller's Day Off,$70.10 
Patrick Hughes,$114.80 ,3,$38.30 ,The Hitman's Bodyguard,$75.50 
Helen Hunt,$3.70 ,1,$3.70 ,Then She Found Me,$3.70 
Nick Hurran,$20.80 ,3,$6.90 ,Little Black Book,$20.70 
Jon Hurwitz,$95.10 ,2,$47.60 ,American Reunion,$57.00 
Peter Hyams,$341.80 ,15,$22.80 ,End of Days,$66.90 
Leon Ichaso,$26.50 ,4,$6.60 ,Sugar Hill,$18.20 
Dan Ireland,$2.60 ,4,$660k,Mrs. Palfrey at the Claremont,$1.70 
Dean Israelite,$107.70 ,2,$53.90 ,Power Rangers,$85.40 
James Ivory,$103.80 ,14,$7.40 ,Howards End,$26.10 
Peter Jackson,"$2,134.70 ",12,$177.90 ,Return of the King,$377.80 
Azazel Jacobs,$756k,2,$378k,Terri,$656k
Gregory Jacobs,$66.90 ,2,$33.50 ,Magic Mike XXL,$66.00 
Famke Janssen,$5.0k,1,$5.0k,Bringing Up Bobby,$5.0k
Andrew Jarecki,$3.70 ,2,$1.90 ,Capturing the Friedmans,$3.10 
Nicholas Jarecki,$7.90 ,1,$7.90 ,Arbitrage,$7.90 
Jim Jarmusch,$32.60 ,12,$2.70 ,Broken Flowers,$13.70 
Patty Jenkins,$447.00 ,2,$223.50 ,Wonder Woman,$412.60 
Garth Jennings,$323.30 ,3,$107.80 ,Sing,$270.40 
Vicky Jenson,$434.90 ,3,$145.00 ,Shrek,$267.70 
Jean-Pierre Jeunet,$92.50 ,7,$13.20 ,Alien Resurrection,$47.80 
Rowan Joffe,$3.50 ,2,$1.70 ,Before I Go To Sleep,$3.20 
Clark Johnson,$153.20 ,2,$76.60 ,S.W.A.T.,$116.90 
Craig Johnson,$5.90 ,2,$3.00 ,The Skeleton Twins,$5.30 
Mark Steven Johnson,$269.30 ,5,$53.90 ,Ghost Rider,$115.80 
Rian Johnson,$692.30 ,4,$173.10 ,Star Wars: The Last Jedi,$620.20 
Tim Johnson,$449.70 ,4,$112.40 ,Home,$177.40 
Joe Johnston,$811.20 ,9,$90.10 ,Jurassic Park III,$181.20 
Angelina Jolie,$116.50 ,3,$38.80 ,Unbroken,$115.60 
Duncan Jones,$107.10 ,3,$35.70 ,Source Code,$54.70 
Kirk Jones,$182.00 ,5,$36.40 ,My Big Fat Greek Wedding 2,$59.70 
Tommy Lee Jones,$7.50 ,2,$3.70 ,The Three Burials of Melquiades Estrada,$5.00 
Spike Jonze,$148.20 ,4,$37.00 ,Where the Wild Things Are,$77.20 
Henry Joost,$199.80 ,4,$49.90 ,Paranormal Activity 3,$104.00 
Neil Jordan,$275.70 ,16,$17.20 ,Interview with the Vampire,$105.30 
Mike Judge,$85.20 ,4,$21.30 ,Beavis and Butt-Head Do America,$63.10 
Miranda July,$4.50 ,2,$2.20 ,Me and You and Everyone We Know,$3.90 
Wong Kar Wai,$13.10 ,10,$1.30 ,The Grandmaster,$6.60 
Jake Kasdan,$604.90 ,7,$86.40 ,Jumanji (2017),$404.40 
Lawrence Kasdan,$297.70 ,11,$27.10 ,The Big Chill,$56.40 
Ross Katz,$18.70 ,1,$18.70 ,The Choice,$18.70 
Charlie Kaufman,$6.80 ,2,$3.40 ,Anomalisa,$3.80 
Philip Kaufman,$31.20 ,2,$15.60 ,The Right Stuff,$21.20 
James Keach,$581k,4,$145k,Glen Campbell... I'll Be Me,$365k
Diane Keaton,$44.00 ,2,$22.00 ,Hanging Up,$36.10 
Michael Keaton,$348k,1,$348k,The Merry Gentleman,$348k
Gil Kenan,$129.00 ,3,$43.00 ,Monster House,$73.70 
Alex Kendrick,$145.90 ,4,$36.50 ,War Room,$67.80 
Chris Kentis,$43.40 ,2,$21.70 ,Open Water,$30.60 
Irvin Kershner,$411.60 ,4,$102.90 ,The Empire Strikes Back,$290.50 
Callie Khouri,$90.30 ,2,$45.10 ,Ya-Ya Sisterhood,$69.60 
Beeban Kidron,$96.10 ,5,$19.20 ,Bridget Jones 2,$40.20 
Jee-woon Kim,$12.90 ,5,$2.60 ,The Last Stand,$12.10 
Michael Patrick King,$248.00 ,2,$124.00 ,Sex and the City,$152.60 
Paul King,$116.70 ,2,$58.40 ,Paddington,$76.30 
Brian Klugman,$11.50 ,1,$11.50 ,The Words,$11.50 
Steven Knight,$1.40 ,2,$706k,Locke,$1.40 
Travis Knight,$48.00 ,1,$48.00 ,Kubo and the Two Strings,$48.00 
David Koepp,$114.10 ,6,$19.00 ,Secret Window,$48.00 
Abby Kohn,$37.90 ,1,$37.90 ,I Feel Pretty,$37.90 
Brian Koppelman,$11.70 ,1,$11.70 ,Knockaround Guys,$11.70 
Baltasar Kormakur,$185.60 ,4,$46.40 ,2 Guns,$75.60 
Joseph Kosinski,$279.50 ,3,$93.20 ,Tron Legacy,$172.10 
Wayne Kramer,$15.60 ,4,$3.90 ,The Cooler,$8.30 
John Krasinski,$161.10 ,3,$53.70 ,A Quiet Place,$160.10 
Stanley Kubrick,$241.20 ,7,$34.50 ,2001: A Space Odyssey,$57.00 
Roger Kumble,$158.90 ,5,$31.80 ,College Road Trip,$45.60 
Alex Kurtzman,$92.70 ,2,$46.30 ,The Mummy (2017),$80.20 
Karyn Kusama,$43.90 ,4,$11.00 ,Aeon Flux,$25.90 
Ken Kwapis,$244.00 ,9,$27.10 ,He's Just Not That Into You,$94.00 
Neil LaBute,$149.20 ,9,$16.60 ,Death at a Funeral (2010),$42.70 
Richard LaGravenese,$122.80 ,6,$20.50 ,P.S. I Love You,$53.70 
Mary Lambert,$80.60 ,5,$16.10 ,Pet Sematary,$57.50 
Peter Landesman,$36.00 ,3,$12.00 ,Concussion (2015),$34.50 
John Landis,$672.00 ,15,$44.80 ,National Lampoon's Animal House,$141.60 
Christopher B. Landon,$91.80 ,3,$30.60 ,Happy Death Day,$55.70 
Pablo Larrain,$17.30 ,4,$4.30 ,Jackie,$14.00 
John Lasseter,"$1,036.00 ",5,$207.20 ,Toy Story 2,$245.90 
Laura Lau,$12.80 ,1,$12.80 ,Silent House,$12.80 
Melanie Laurent,$42.3k,1,$42.3k,Breathe,$42.3k
Francis Lawrence,"$1,481.40 ",7,$211.60 ,Catching Fire,$424.70 
Mimi Leder,$215.20 ,3,$71.70 ,Deep Impact,$140.50 
Ang Lee,$548.30 ,13,$42.20 ,Hulk,$132.20 
Benson Lee,$9.20 ,2,$4.60 ,Battle of the Year,$8.90 
Jennifer Lee,$400.70 ,1,$400.70 ,Frozen,$400.70 
Malcolm D. Lee,$416.80 ,9,$46.30 ,Girls Trip,$115.20 
Sngmoo Lee,$5.70 ,1,$5.70 ,The Warrior's Way,$5.70 
Spike Lee,$379.80 ,21,$18.10 ,Inside Man,$88.50 
Michael Lehman,$148.10 ,9,$16.50 ,Because I Said So,$42.70 
Mike Leigh,$41.20 ,11,$3.70 ,Secrets & Lies,$13.40 
David Leitch,$94.70 ,2,$47.40 ,Atomic Blonde,$51.70 
Michael Lembeck,$291.80 ,4,$73.00 ,The Santa Clause 2,$139.20 
Thomas Lennon & Ben Garant,$8.8k,1,$8.8k,Hell Baby,$8.8k
John R. Leonetti,$134.50 ,3,$44.80 ,Annabelle,$84.30 
Peter Lepeniotis,$64.30 ,1,$64.30 ,The Nut Job,$64.30 
Louis Leterrier,$490.30 ,6,$81.70 ,Clash of the Titans,$163.20 
Asger Leth,$18.70 ,2,$9.30 ,Man on a Ledge,$18.60 
Rob Letterman,$482.10 ,4,$120.50 ,Monsters Vs. Aliens,$198.40 
Gregory Levasseur,$2.80 ,1,$2.80 ,The Pyramid,$2.80 
David Levien,$11.70 ,1,$11.70 ,Knockaround Guys,$11.70 
Jonathan Levine,$192.40 ,5,$38.50 ,Warm Bodies,$66.40 
Barry Levinson,$812.70 ,22,$36.90 ,Rain Man,$172.80 
Shawn Levy,"$1,130.30 ",11,$102.80 ,Night at the Museum,$250.90 
Brad Lewis,$191.50 ,1,$191.50 ,Cars 2,$191.50 
Jonathan Liebesman,$430.50 ,5,$86.10 ,Ninja Turtles,$191.20 
Matthew Lillard,$41.5k,1,$41.5k,Fat Kid Rules the World,$41.5k
Doug Liman,$572.60 ,9,$63.60 ,Mr. & Mrs. Smith,$186.30 
Justin Lin,$845.90 ,8,$105.70 ,Fast & Furious 6,$238.70 
Todd Lincoln,$4.90 ,1,$4.90 ,The Apparition,$4.90 
Jamie Linden,$203k,1,$203k,10 Years,$203k
Richard Linklater,$203.90 ,18,$11.30 ,School of Rock,$81.30 
Steven Lisberger,$37.20 ,3,$12.40 ,Tron,$33.00 
Richard Loncraine,$79.60 ,7,$11.40 ,Firewall,$48.80 
Kenneth Lonergan,$56.90 ,3,$19.00 ,Manchester by the Sea,$47.70 
Peter Lord,$137.90 ,2,$68.90 ,Chicken Run,$106.80 
Phil Lord,$712.80 ,4,$178.20 ,The LEGO Movie,$257.80 
Robert Lorenz,$35.80 ,1,$35.80 ,Trouble with the Curve,$35.80 
George Lucas,"$1,743.90 ",6,$290.70 ,The Phantom Menace,$474.50 
Jon Lucas,$211.10 ,3,$70.40 ,Bad Moms,$113.30 
John Luessenhop,$92.50 ,3,$30.80 ,Takers,$57.70 
Baz Luhrmann,$309.90 ,5,$62.00 ,The Great Gatsby,$144.80 
Robert Luketic,$421.00 ,7,$60.10 ,Legally Blonde,$96.50 
Diego Luna,$5.60 ,1,$5.60 ,Cesar Chavez,$5.60 
Rod Lurie,$49.80 ,5,$10.00 ,Last Castle,$18.20 
Patrick Lussier,$95.30 ,3,$31.80 ,My Bloody Valentine 3-D,$51.50 
David Lynch,$98.10 ,9,$10.90 ,Dune,$30.90 
Kevin Macdonald,$81.80 ,9,$9.10 ,State of Play,$37.00 
Seth MacFarlane,$343.40 ,3,$114.50 ,Ted,$218.80 
William H. Macy,$95.8k,2,$47.9k,Rudderless,$58.3k
John Madden,$257.50 ,11,$23.40 ,Shakespeare in Love,$100.30 
Madonna,$606k,2,$303k,W.E.,$583k
Sharon Maguire,$95.80 ,3,$31.90 ,Bridget Jones's Diary,$71.50 
Terrence Malick,$67.50 ,8,$8.40 ,Thin Red Line,$36.40 
David Mamet,$60.00 ,10,$6.00 ,Heist,$23.50 
James Mangold,$782.40 ,10,$78.20 ,Logan,$226.30 
Michael Mann,$524.10 ,11,$47.60 ,Collateral,$101.00 
Dustin Marcellino,$2.80 ,1,$2.80 ,The Identical,$2.80 
Mars Marlind,$62.30 ,1,$62.30 ,Underworld Awakening,$62.30 
Frank Marshall,$252.60 ,4,$63.10 ,Eight Below,$81.60 
Garry Marshall,"$1,023.40 ",18,$56.90 ,Pretty Woman,$178.40 
Penny Marshall,$407.00 ,7,$58.10 ,Big,$115.00 
Rob Marshall,$616.90 ,5,$123.40 ,Pirates of the Caribbean 4,$241.10 
Demetri Martin,$255k,1,$255k,Dean,$255k
Michael Mayer,$1.00 ,1,$1.00 ,A Home at the End of the World,$1.00 
Craig Mazin,$25.90 ,2,$12.90 ,Superhero Movie,$25.90 
Tom McCarthy,$70.40 ,4,$17.60 ,Spotlight,$45.10 
Mike McCoy,$70.00 ,1,$70.00 ,Act of Valor,$70.00 
John Michael McDonagh,$9.00 ,2,$4.50 ,The Guard,$5.40 
McG,$480.50 ,6,$80.10 ,Terminator Salvation,$125.30 
Douglas McGrath,$34.80 ,5,$7.00 ,Emma,$22.20 
Tom McGrath,$913.40 ,5,$182.70 ,Madagascar 3,$216.40 
Ewan McGregor,$544k,1,$544k,American Pastoral,$544k
Adam McKay,$650.80 ,6,$108.50 ,Talladega Nights,$148.20 
Gary McKendry,$25.10 ,1,$25.10 ,Killer Elite,$25.10 
Sean McNamara,$74.40 ,5,$14.90 ,Soul Surfer,$43.90 
Christopher McQuarrie,$281.20 ,3,$93.70 ,M:I - Rogue Nation,$195.00 
Steve McQueen (II),$60.70 ,3,$20.20 ,12 Years a Slave,$56.70 
James McTeigue,$124.60 ,3,$41.50 ,V for Vendetta,$70.50 
John McTiernan,$610.40 ,11,$55.50 ,Hunt for Red October,$122.00 
Peter Medak,$27.20 ,6,$4.50 ,Species II,$19.20 
Olivier Megaton,$297.50 ,4,$74.40 ,Taken 2,$139.90 
Theodore Melfi,$213.70 ,2,$106.90 ,Hidden Figures,$169.60 
Sam Mendes,$834.00 ,7,$119.10 ,Skyfall,$304.40 
Nancy Meyers,$625.60 ,6,$104.30 ,What Women Want,$182.80 
David Michod,$2.20 ,2,$1.10 ,The Rover,$1.10 
Bennett Miller,$116.50 ,3,$38.80 ,Moneyball,$75.60 
Chris Miller,$472.00 ,2,$236.00 ,Shrek the Third,$322.70 
Frank Miller,$107.70 ,3,$35.90 ,Sin City,$74.10 
George Miller,$603.50 ,10,$60.40 ,Happy Feet,$198.00 
Sam Miller,$52.50 ,1,$52.50 ,No Good Deed,$52.50 
Chris Miller (II),$712.80 ,4,$178.20 ,The LEGO Movie,$257.80 
Mike Mills,$12.80 ,3,$4.30 ,Beginners,$5.80 
Anthony Minghella,$261.20 ,6,$43.50 ,Cold Mountain,$95.60 
Rob Minkoff,$867.20 ,7,$123.90 ,Lion King,$422.80 
John Cameron Mitchell,$7.30 ,3,$2.40 ,Hedwig and the Angry Inch,$3.10 
Mike Mitchell,$829.70 ,7,$118.50 ,Shrek Forever After,$238.70 
Goro Miyazaki,$48.5k,1,$48.5k,Tales from Earthsea,$48.5k
Hayao Miyazaki,$38.60 ,5,$7.70 ,Ponyo,$15.10 
William Monahan,$24.3k,2,$12.2k,London Boulevard,$16.1k
Alejandro Monteverde,$14.60 ,2,$7.30 ,Bella,$8.10 
Jason Moore,$152.00 ,2,$76.00 ,Sisters,$87.00 
John Moore,$242.50 ,5,$48.50 ,A Good Day to Die Hard,$67.30 
Michael Moore,$191.20 ,9,$21.20 ,Fahrenheit 9/11,$119.20 
Rich Moore,$530.70 ,2,$265.30 ,Zootopia,$341.30 
Scott Moore,$211.10 ,3,$70.40 ,Bad Moms,$113.30 
Pierre Morel,$180.90 ,4,$45.20 ,Taken,$145.00 
Errol Morris,$10.10 ,8,$1.30 ,The Fog of War,$4.20 
Greg Mottola,$191.90 ,5,$38.40 ,Superbad,$121.50 
Oren Moverman,$2.20 ,3,$750k,The Messenger,$1.10 
Gabriele Muccino,$247.90 ,5,$49.60 ,The Pursuit of Happyness,$163.60 
Kieran Mulroney,$13.5k,1,$13.5k,Paper Man,$13.5k
Michele Mulroney,$13.5k,1,$13.5k,Paper Man,$13.5k
Kevin Munroe,$55.30 ,2,$27.70 ,TMNT,$54.10 
Ryan Murphy,$87.60 ,2,$43.80 ,Eat Pray Love,$80.60 
Noam Murro,$116.10 ,2,$58.00 ,300: Rise of An Empire,$106.60 
Andres Muschietti,$399.10 ,2,$199.60 ,It,$327.50 
Mike Myers,$213k,1,$213k,Supermensch: The Legend of Shep Gordon,$213k
Mark Mylod,$14.00 ,1,$14.00 ,What's Your Number?,$14.00 
Mira Nair,$83.60 ,10,$8.40 ,Vanity Fair,$16.10 
Vincenzo Natali,$17.50 ,2,$8.80 ,Splice,$17.00 
Gregory Nava,$60.00 ,4,$15.00 ,Selena,$35.30 
Mark Neveldine,$113.80 ,4,$28.50 ,Ghost Rider 2,$51.80 
Mike Newell,$581.80 ,14,$41.60 ,Harry Potter / Goblet of Fire,$290.00 
Paul Newman,$896k,1,$896k,The Glass Menagerie,$896k
Andrew Niccol,$110.80 ,6,$18.50 ,In Time,$37.50 
Jeff Nichols,$34.80 ,5,$7.00 ,Mud,$21.60 
Mike Nichols,$722.50 ,16,$45.20 ,Birdcage,$124.10 
William Nicholson,$785k,1,$785k,Firelight,$785k
Neil Nightingale,$36.10 ,1,$36.10 ,Walking with Dinosaurs,$36.10 
Marcus Nispel,$177.10 ,4,$44.30 ,Texas Chainsaw Massacre,$80.60 
Troy Nixey,$24.00 ,1,$24.00 ,Don't Be Afraid of the Dark,$24.00 
Gaspar Noe,$1.40 ,3,$459k,Irreversible,$792k
Christopher Nolan,"$2,006.60 ",11,$182.40 ,The Dark Knight,$534.90 
George Nolfi,$69.40 ,2,$34.70 ,The Adjustment Bureau,$62.50 
Nima Nourizadeh,$69.20 ,2,$34.60 ,Project X,$54.70 
Phillip Noyce,$567.20 ,13,$43.60 ,Clear and Present Danger,$122.20 
Joe Nussbaum,$31.50 ,3,$10.50 ,Sydney White,$11.90 
Lonzo Nzekwe,$15.8k,1,$15.8k,Anchor Baby,$15.8k
Gavin O'Connor,$182.90 ,6,$30.50 ,The Accountant,$86.30 
Steve Oedekerk,$241.50 ,4,$60.40 ,When Nature Calls,$108.40 
Kenny Ortega,$205.00 ,4,$51.20 ,High School Musical 3,$90.60 
Frank Oz,$575.20 ,12,$47.90 ,The Score,$71.10 
Jose Padilha,$62.20 ,6,$10.40 ,RoboCop,$58.60 
Alan J. Pakula,$413.80 ,12,$34.50 ,Pelican Brief,$100.80 
David Palmer,$13.70 ,1,$13.70 ,Hit and Run,$13.70 
Dean Parisot,$245.60 ,4,$61.40 ,Fun with Dick and Jane,$110.30 
